City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Honiara,SB,87.8,scattered clouds,-9.43,159.95,Heritage Park Hotel
436,Monrovia,LR,78.3,overcast clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
441,Port-Gentil,GA,78.89,overcast clouds,-0.72,8.78,Fengshui Residence
444,Ballina,AU,82.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
456,Sawakin,SD,82.31,light rain,19.11,37.33,فندق الدويم
457,Samarai,PG,80.71,light rain,-10.62,150.67,Nuli Sapi
461,Sola,VU,79.81,light rain,-13.88,167.55,Ulkel Guest House
465,Batemans Bay,AU,80.01,clear sky,-35.72,150.18,Batemans Bay Marina Resort
466,Popondetta,PG,89.01,light rain,-8.75,148.25,Timos Transit House
472,Alice Springs,AU,89.6,dust,-23.7,133.88,Desert Palms Alice Springs
487,Binga,ZW,80.49,scattered clouds,-17.62,27.34,Lakeview Inn Binga
489,Makakilo City,US,84.2,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
494,Bubaque,GW,83.08,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
498,Tabou,CI,78.33,light rain,4.42,-7.35,hotêl doufoulougou
499,Hervey Bay,AU,82.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
503,Lucea,JM,82.4,very heavy rain,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
504,Santo Antonio Do Leverger,BR,78.8,clear sky,-15.87,-56.08,Chácara Do SINETRAN
506,Qui Nhon,VN,80.65,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
507,Mitsamiouli,KM,78.55,scattered clouds,-11.38,43.28,Foyer ADM
514,Bontang,ID,85.66,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
520,Launceston,AU,86.0,broken clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
522,Aden,YE,79.63,clear sky,12.78,45.04,Sama Emirate Hotel
528,Papar,MY,84.2,few clouds,5.73,115.93,Pandan Hotel
531,Alyangula,AU,86.9,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
542,Phan Thiet,VN,78.31,broken clouds,10.93,108.1,Hotel Saigon-PT
548,Martapura,ID,82.4,few clouds,-3.42,114.85,Montana Hotel Syariah
554,Alugan,PH,78.93,moderate rain,12.22,125.48,JM Lodge
574,Swan Hill,AU,83.5,light rain,-35.34,143.55,Lazy River Motor Inn
581,Daru,PG,83.84,broken clouds,-9.08,143.21,New century hotel
585,Ulladulla,AU,80.01,few clouds,-35.35,150.47,Sandpiper Motel
588,Ciudad Bolivar,VE,79.86,scattered clouds,8.12,-63.55,Hotel Edi
598,Kavaratti,IN,82.6,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
599,Ugoofaaru,MV,82.71,overcast clouds,5.67,73.0,Ungoofaaru Inn
602,Labuan,MY,84.2,few clouds,5.28,115.24,Tiara Labuan Hotel
617,Edgewater,US,79.0,overcast clouds,28.99,-80.9,Islander Beach Resort
620,Nabire,ID,85.08,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
636,Sibu,MY,80.6,few clouds,2.3,111.82,RH HOTEL (4 Star)
641,Limot,PH,86.0,broken clouds,7.04,126.27,Buso Hot Spring
645,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
657,Acapulco,MX,82.4,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
678,Kulhudhuffushi,MV,82.98,overcast clouds,6.62,73.07,Haajy Guest House 1
679,Acarau,BR,80.94,scattered clouds,-2.89,-40.12,castelo pizzaria
692,Tual,ID,83.91,moderate rain,-5.67,132.75,Grand Vilia Hotel
699,Marawi,PH,80.47,overcast clouds,8.0,124.29,Derogongan Residence
703,Gigmoto,PH,78.89,moderate rain,13.78,124.39,Cj's Travellers Inn
