City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Mahibadhoo,MV,3.78,72.97,84.49,66,4,3.71,light rain
308,Wahpeton,US,46.27,-96.61,62.01,82,1,21.92,clear sky
309,Esperance,AU,-33.87,121.9,71.6,56,0,14.99,clear sky
310,Gornopravdinsk,RU,60.05,69.9,33.44,98,100,2.1,overcast clouds
311,Swan River,CA,52.11,-101.27,23.0,92,100,14.99,overcast clouds
312,Adelaide,AU,-34.93,138.6,73.0,52,0,4.7,clear sky
313,Finschhafen,PG,-6.6,147.87,81.01,75,55,2.75,broken clouds
314,Puerto Del Rosario,ES,28.5,-13.86,69.8,83,20,5.82,few clouds
315,Dezful,IR,32.38,48.41,84.61,25,100,3.38,overcast clouds
316,Port Macquarie,AU,-31.43,152.92,64.0,69,48,1.01,scattered clouds
317,Sinnamary,GF,5.38,-52.95,78.26,84,16,12.41,few clouds
318,Abadan,IR,30.34,48.3,91.4,29,20,11.41,few clouds
319,Antofagasta,CL,-23.65,-70.4,60.8,77,90,5.82,overcast clouds
320,Bressanone,IT,46.72,11.66,46.4,81,0,3.36,clear sky
321,Ngunguru,NZ,-35.62,174.5,57.0,87,18,5.01,few clouds
322,Sur,OM,22.57,59.53,83.34,53,0,8.08,clear sky
323,Devonport,AU,-41.17,146.35,53.01,71,0,1.9,clear sky
324,Saskylakh,RU,71.92,114.08,-10.34,88,0,10.02,clear sky
325,Rudnya,RU,54.95,31.09,44.6,100,90,13.42,light intensity drizzle
326,Aripuana,BR,-9.17,-60.63,71.13,95,24,1.43,light rain
327,Meulaboh,ID,4.14,96.13,81.45,81,100,2.68,overcast clouds
328,Havelock,US,34.88,-76.9,64.4,93,1,11.41,clear sky
329,Gizo,SB,-8.1,156.84,84.16,70,86,4.18,overcast clouds
330,Statesboro,US,32.45,-81.78,69.8,88,90,6.93,overcast clouds
331,Chamalieres,FR,45.78,3.06,60.8,67,0,6.93,clear sky
332,Cabra,ES,37.47,-4.44,64.0,82,0,8.05,clear sky
333,Pathalgaon,IN,22.57,83.47,79.25,33,0,3.83,clear sky
334,Krasnokamensk,RU,50.1,118.04,11.95,90,95,7.2,overcast clouds
335,Morondava,MG,-20.28,44.28,86.04,57,0,14.0,clear sky
336,Le Vauclin,MQ,14.55,-60.84,78.8,88,0,8.05,clear sky
337,Husavik,IS,66.04,-17.34,33.8,64,0,5.82,clear sky
338,Nabire,ID,-3.37,135.48,79.16,83,99,1.16,overcast clouds
339,Oranjemund,NA,-28.55,16.43,66.72,59,0,9.53,clear sky
340,Jijiga,ET,9.35,42.8,79.65,19,28,5.73,scattered clouds
341,Rawah,IQ,34.48,41.91,75.96,32,50,5.77,scattered clouds
342,Kericho,KE,-0.37,35.28,77.0,69,40,6.93,scattered clouds
343,Bosaso,SO,11.28,49.18,84.31,56,11,15.39,few clouds
344,Igarka,RU,67.47,86.58,21.38,97,100,17.81,snow
345,Goundam,ML,16.41,-3.67,89.28,11,27,17.78,scattered clouds
346,Khuzhir,RU,53.19,107.34,38.23,82,92,12.48,overcast clouds
347,Pemangkat,ID,1.17,108.97,82.87,74,100,5.95,overcast clouds
348,Yellowknife,CA,62.46,-114.35,15.01,92,90,3.36,light snow
349,Igrim,RU,63.19,64.42,30.06,96,92,4.5,overcast clouds
350,Shanghai,CN,31.22,121.46,64.99,34,0,11.18,clear sky
351,Gainesville,US,29.65,-82.32,69.01,100,1,5.82,clear sky
352,Hornepayne,CA,49.21,-84.77,47.84,95,100,6.13,overcast clouds
353,Damietta,EG,31.42,31.81,73.4,64,75,10.29,broken clouds
354,Charyshskoye,RU,51.4,83.56,46.09,61,86,6.31,overcast clouds
