City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Dhidhdhoo,MV,6.88,73.1,83.21,71,96,5.97,overcast clouds
130,Marzuq,YE,14.4,46.47,61.32,64,0,1.68,clear sky
131,Karaton,ID,-6.34,106.1,86.0,66,20,2.24,few clouds
132,Benemerito De Las Americas,MX,16.52,-90.64,71.1,91,87,0.85,overcast clouds
133,Hualmay,PE,-11.1,-77.61,61.47,88,13,3.71,few clouds
134,Arlit,NE,18.74,7.39,67.78,34,0,4.9,clear sky
135,Haines Junction,CA,60.75,-137.51,5.0,84,92,1.12,overcast clouds
136,Fortuna,US,40.6,-124.16,48.99,93,20,9.17,few clouds
137,Agadez,NE,19.75,10.25,62.4,32,0,10.65,clear sky
138,Benghazi,LY,32.12,20.07,67.55,78,8,11.39,clear sky
139,Lasa,IT,46.62,10.7,37.4,86,5,5.82,clear sky
140,Tazovskiy,RU,67.47,78.7,1.83,94,82,7.38,broken clouds
141,Coos Bay,US,43.37,-124.22,48.99,93,90,10.29,overcast clouds
142,Misratah,LY,32.38,15.09,67.33,69,13,7.36,light rain
143,Wheeling,US,42.14,-87.93,61.0,82,90,19.46,overcast clouds
144,Pevek,RU,69.7,170.31,21.06,96,100,14.05,overcast clouds
145,Khatanga,RU,71.97,102.5,-9.17,91,67,5.77,broken clouds
146,Dinagat,PH,9.96,125.59,84.13,74,100,12.06,overcast clouds
147,Avarua,CK,-21.21,-159.78,80.6,78,0,16.11,clear sky
148,Ambilobe,MG,-13.2,49.05,70.7,81,3,4.81,clear sky
149,Durango,MX,24.83,-104.83,59.07,34,25,8.12,scattered clouds
150,Coari,BR,-4.08,-63.14,79.34,75,15,1.16,few clouds
151,Deputatskiy,RU,69.3,139.9,-21.6,88,5,1.34,clear sky
152,Wajir,KE,1.75,40.06,76.26,85,0,8.95,clear sky
153,Bethel,US,41.37,-73.41,62.01,87,1,4.97,clear sky
154,Shahreza,IR,32.03,51.88,42.76,73,79,3.78,broken clouds
155,Rapar,IN,23.57,70.63,74.43,36,0,6.38,clear sky
156,Upernavik,GL,72.79,-56.15,12.16,91,100,4.16,overcast clouds
157,Cocachacra,PE,-17.09,-71.76,64.29,77,63,3.85,broken clouds
158,Burnie,AU,-41.07,145.92,69.01,74,94,10.0,overcast clouds
159,Pisco,PE,-13.7,-76.22,66.2,82,90,13.87,overcast clouds
160,Castro,BR,-24.79,-50.01,64.24,91,100,1.88,overcast clouds
161,Mattru,SL,7.62,-11.83,73.94,96,1,0.78,clear sky
162,Huarmey,PE,-10.07,-78.15,61.75,88,72,4.76,broken clouds
163,Vytegra,RU,61.01,36.45,35.13,85,100,8.79,overcast clouds
164,Tomohon,ID,1.33,124.84,87.8,58,20,2.24,few clouds
165,Vila Franca Do Campo,PT,37.72,-25.43,60.8,77,20,20.8,few clouds
166,Broome,US,42.25,-75.83,63.0,72,1,8.05,clear sky
167,Neman,RU,55.03,22.03,37.87,91,46,4.76,scattered clouds
168,Kloulklubed,PW,7.04,134.26,84.2,79,75,5.82,broken clouds
169,Lambarene,GA,-0.7,10.24,72.72,93,66,1.59,broken clouds
170,Wangqing,CN,43.32,129.76,42.42,59,0,3.62,clear sky
171,Moss Point,US,30.41,-88.53,75.2,94,90,5.82,overcast clouds
172,Dicabisagan,PH,17.08,122.42,79.5,84,100,21.45,moderate rain
173,Shieli,KZ,44.17,66.75,40.46,67,91,10.56,overcast clouds
174,Yatou,CN,37.15,122.38,59.94,48,0,7.78,clear sky
175,College,US,64.86,-147.8,25.0,79,75,3.58,broken clouds
176,Hinton,CA,53.4,-117.59,26.6,73,100,8.05,overcast clouds
177,Verkhnyaya Inta,RU,65.98,60.31,19.56,97,100,11.74,light snow
178,Menongue,AO,-14.66,17.69,63.77,85,100,4.92,light rain
179,Arman,RU,59.7,150.17,4.77,84,0,7.81,clear sky
180,Victoria,HK,22.29,114.16,73.99,64,0,3.0,clear sky
181,Carnarvon,AU,-24.87,113.63,71.6,37,9,18.34,clear sky
182,Eirunepe,BR,-6.66,-69.87,73.4,97,100,3.83,moderate rain
